Date,Symbol,Open,High,Low,Close,Volume
2020/8/18,2594,85.681,86.191,83.427,83.814,16155250
2020/8/19,2594,83.019,83.263,81.101,81.234,18735826
2020/8/20,2594,81.224,81.591,79.653,80.112,12272430
2020/8/21,2594,81.591,82.244,80.469,81.163,11190548
2020/8/24,2594,81.489,83.916,81.275,83.06,17128061
2020/8/25,2594,82.611,84.528,82.101,82.856,14510634
2020/8/26,2594,83.631,87.006,83.304,85.079,32047153
2020/8/27,2594,88.22,89.291,86.384,87.119,25203489
2020/8/28,2594,86.69,87.771,84.671,87.088,18647043
2020/8/31,2594,88.75,89.974,86.568,86.69,21534690
2020/9/1,2594,88.72,95.359,88.026,95.359,39461265
2020/9/2,2594,97.787,97.909,93.452,96.175,39704708
2020/9/3,2594,94.727,97.052,93.982,94.431,22779495
2020/9/4,2594,90.566,92.391,89.77,91.79,22202132
2020/9/7,2594,91.259,99.439,91.178,96.624,40998653
2020/9/8,2594,97.787,97.787,92.504,92.81,27908409
2020/9/9,2594,89.76,90.464,86.537,87.7,26329156
2020/9/10,2594,89.587,91.963,88.628,88.822,21706271
2020/9/11,2594,89.597,93.014,88.954,93.014,20576370
2020/9/14,2594,93.116,96.379,93.116,94.339,22383909
2020/9/15,2594,95.879,103.773,95.359,103.314,57922128
2020/9/16,2594,102.274,110.015,100.969,107.496,49378934
2020/9/17,2594,107.608,118.246,107.241,118.246,60235110
2020/9/18,2594,116.257,117.797,113.717,117.797,47375377
2020/9/21,2594,118.307,121.693,106.415,107.873,58877087
2020/9/22,2594,108.618,112.85,106.078,108.893,46288194
2020/9/23,2594,111.168,113.218,108.414,112.595,38140914
2020/9/24,2594,110.025,112.218,108.118,108.516,26612570
2020/9/25,2594,110.352,111.973,105.864,107.18,32436317
2020/9/28,2594,108.302,110.25,107.751,108.516,21188287
2020/9/29,2594,110.749,111.688,106.323,110.036,27004576
2020/9/30,2594,110.739,120.581,109.23,118.552,44420102
2020/10/1,2594,118.552,118.552,118.552,118.552,0
2020/10/2,2594,118.552,118.552,118.552,118.552,0
2020/10/5,2594,118.552,118.552,118.552,118.552,0
2020/10/6,2594,118.552,118.552,118.552,118.552,0
2020/10/7,2594,118.552,118.552,118.552,118.552,0
2020/10/8,2594,118.552,118.552,118.552,118.552,0
2020/10/9,2594,125.548,128.648,121.57,122.743,55967807
2020/10/12,2594,126.262,131.596,122.845,131.055,52808892
2020/10/13,2594,130.545,134.503,127.486,131.861,46052746
2020/10/14,2594,131.718,134.951,130.647,133.095,31047158
2020/10/15,2594,137.277,140.469,133.942,134.166,40289307
2020/10/16,2594,135.196,136.512,127.486,130.341,41353551
2020/10/19,2594,130.545,132.391,128.812,130.627,22200611
2020/10/20,2594,128.689,143.121,128.689,142.784,54167901
2020/10/21,2594,140.734,142.478,136.838,140.234,38056707
2020/10/22,2594,139.959,147.883,134.696,146.649,43438939
2020/10/23,2594,144.844,148.679,139.214,141.428,40099412
2020/10/26,2594,139.214,145.691,135.747,142.743,30979604
2020/10/27,2594,140.153,144.314,138.531,143.07,29654540
2020/10/28,2594,142.284,156.532,141.785,154.615,51797365
2020/10/29,2594,150.851,170.076,150.851,161.53,63470495
2020/10/30,2594,163.182,173.687,157.266,162.988,67329183
2020/11/2,2594,164.11,172.106,163.692,171.32,52491093
2020/11/3,2594,175.42,175.879,162.753,167.343,66161664
2020/11/4,2594,170.321,173.717,166.241,171.371,46094823
2020/11/5,2594,178.48,188.506,174.401,188.506,67409211
